,actualWpm,isWordCommon,numCapitalLetters,numConsecutiveFingers,numDoubleLetters,numHomeRowLetters,numLeftHandLetters,numNumbers,numRightHandFingerLettersDistribution,numRightHandLetters,numShiftedLetters,wordLength
actualWpm,1.0,0.21024722390153724,-0.009440521435618307,-0.2583835543627823,-0.009440521435618307,-0.009440521435618307,-0.1730838231065326,-0.047840552369254614,-0.06522184599912238,-0.06522184599912238,-0.36545442630472025,-0.1347833522211389
isWordCommon,0.21024722390153724,1.0,-0.0035812240528172905,-0.21040550327410154,-0.0035812240528172905,-0.0035812240528172905,-0.34157108502689215,-0.0445047263089099,-0.4115382235633166,-0.4115382235633166,0.052577348681280556,-0.45255665885676977
numCapitalLetters,-0.009440521435618307,-0.0035812240528172905,1.0,0.001902653385417579,1.0,1.0,0.009231888961367509,-0.0001862711586737081,0.0034370300492621094,0.0034370300492621094,0.01883512344974923,0.007240436334295648
numConsecutiveFingers,-0.2583835543627823,-0.21040550327410154,0.001902653385417579,1.0,0.001902653385417579,0.001902653385417579,0.31402735366429874,0.03012580360264312,0.2832889594432823,0.2832889594432823,-0.032655395990956654,0.349336617194207
numDoubleLetters,-0.009440521435618307,-0.0035812240528172905,1.0,0.001902653385417579,1.0,1.0,0.009231888961367509,-0.0001862711586737081,0.0034370300492621094,0.0034370300492621094,0.01883512344974923,0.007240436334295648
numHomeRowLetters,-0.009440521435618307,-0.0035812240528172905,1.0,0.001902653385417579,1.0,1.0,0.009231888961367509,-0.0001862711586737081,0.0034370300492621094,0.0034370300492621094,0.01883512344974923,0.007240436334295648
numLeftHandLetters,-0.1730838231065326,-0.34157108502689215,0.009231888961367509,0.31402735366429874,0.009231888961367509,0.009231888961367509,1.0,-0.0029039454226148878,0.40244401840122085,0.40244401840122085,-0.03133803892188896,0.7923639383332616
numNumbers,-0.047840552369254614,-0.0445047263089099,-0.0001862711586737081,0.03012580360264312,-0.0001862711586737081,-0.0001862711586737081,-0.0029039454226148878,1.0,-0.003997696084336034,-0.003997696084336034,0.24382021207301177,-0.00448955904990829
numRightHandFingerLettersDistribution,-0.06522184599912238,-0.4115382235633166,0.0034370300492621094,0.2832889594432823,0.0034370300492621094,0.0034370300492621094,0.40244401840122085,-0.003997696084336034,1.0,1.0,-0.11552312169237182,0.8740739969564668
numRightHandLetters,-0.06522184599912238,-0.4115382235633166,0.0034370300492621094,0.2832889594432823,0.0034370300492621094,0.0034370300492621094,0.40244401840122085,-0.003997696084336034,1.0,1.0,-0.11552312169237182,0.8740739969564668
numShiftedLetters,-0.36545442630472025,0.052577348681280556,0.01883512344974923,-0.032655395990956654,0.01883512344974923,0.01883512344974923,-0.03133803892188896,0.24382021207301177,-0.11552312169237182,-0.11552312169237182,1.0,-0.0926540519046673
wordLength,-0.1347833522211389,-0.45255665885676977,0.007240436334295648,0.349336617194207,0.007240436334295648,0.007240436334295648,0.7923639383332616,-0.00448955904990829,0.8740739969564668,0.8740739969564668,-0.0926540519046673,1.0
